Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
James Russell,Tigers,0,0,5.17,0,1,0,1,1,1,0,1,0,1.45,6.07,3.11,5.37,0,0,999,4089
Gerardo Reyes,Padres,0,0,5.08,0,1,0,1,1,1,0,1,1,1.68,7.14,6.04,5.37,0,0,999,sa829912
Tim Lincecum,,0,0,5.48,0,0,0,1,1,1,0,1,0,1.55,6.77,4.03,5.37,0,0,667.7,5705
Felipe Paulino,,0,0,5.32,0,0,0,1,1,1,0,1,0,1.57,6.62,4.38,5.37,0,0,999,3777
Adam Quintana,Rangers,0,0,5.41,0,0,0,1,1,1,0,1,0,1.59,6.77,4.5,5.37,0,0,999,sa883461
Scarlyn Reyes,,0,0,5.29,0,0,0,1,1,1,0,1,0,1.56,6.12,4.19,5.37,0,0,999,sa739684
Ralph Garza,Astros,0,0,5.25,0,1,0,1,1,1,0,1,1,1.56,7.47,4.82,5.37,0,0,999,sa875812
Carlos Contreras,,0,0,5.28,0,1,0,1,1,1,0,1,1,1.6,7.47,5.11,5.37,0,0,999,10386
Danny Rosenbaum,,0,0,5.24,0,0,0,1,1,1,0,1,0,1.57,6.2,4.3,5.37,0,0,999,sa502078
Sean Nolin,,0,0,5.28,0,0,0,1,1,1,0,1,0,1.5,6.35,3.6,5.37,0,0,999,11341
Ricky Romero,Blue Jays,0,0,5.12,0,1,0,1,1,1,0,1,1,1.61,6.72,5.12,5.37,0,0,999,3403
Seth Webster,,0,0,5.36,0,0,0,1,1,1,0,1,0,1.47,5.39,2.81,5.38,0,0,999,sa871452
Austin Bibens-Dirkx,Rangers,0,0,5.38,0,1,0,1,1,1,0,1,0,1.47,6.09,3.07,5.38,0,0,999,9559
Alex Palsha,Mets,0,0,5.16,0,1,0,1,1,1,0,1,1,1.66,6.78,5.58,5.38,0,0,999,sa829433
Confesor Lara,Twins,0,0,5.29,0,1,0,1,1,1,0,1,0,1.5,6.66,3.77,5.38,0,0,999,sa547772
Matt Tenuta,Royals,0,0,5.17,0,1,0,1,1,1,0,1,0,1.51,5.92,3.84,5.38,0,0,999,sa658605
Matt Sergey,,0,0,5.28,0,1,0,1,1,1,0,1,1,1.59,7.73,5.18,5.38,0,0,999,sa921222
Merandy Gonzalez,Marlins,0,0,5.22,0,0,0,1,1,1,0,1,0,1.55,5.58,4.09,5.38,0,0,999,sa737381
Nolan Sanburn,,0,0,5.31,0,0,0,1,1,1,0,1,0,1.56,6.42,4.33,5.38,0,0,999,sa549956
Matt Pobereyko,Mets,0,0,5.22,0,1,0,1,1,1,0,1,1,1.63,7.85,5.71,5.38,0,0,999,sa921581
Justin Anderson,Angels,0,0,5.03,0,1,0,1,1,1,0,1,0,1.5,5.97,3.94,5.38,0,0,999,sa829323
Chris Ellis,Cardinals,0,0,5.24,0,0,0,1,1,1,0,1,1,1.53,7.24,4.52,5.38,0,0,999,sa602616
Brandon Sinnery,Diamondbacks,0,0,5.42,0,0,0,1,1,1,0,1,0,1.47,5.98,3.1,5.38,0,0,999,sa732032
Gerson Bautista,Mets,1,1,5.16,0,20,0,20,20,11,3,17,14,1.68,7.62,6.14,5.38,-0.2,-0.2,999,sa732755
Connor Kaden,Giants,0,0,5.07,0,1,0,1,1,1,0,1,1,1.73,5.74,6.04,5.38,0,0,999,sa829437
Mark Serrano,,0,0,5.26,0,1,0,1,1,1,0,1,1,1.59,6.59,4.69,5.39,0,0,999,sa501508
Nolan Blackwood,Athletics,0,0,5.28,0,1,0,1,1,1,0,1,1,1.68,5.72,5.18,5.39,0,0,999,sa874212
Ricardo Sanchez,Braves,0,1,5.13,0,10,0,10,10,6,1,8,6,1.62,7.39,5.47,5.39,-0.1,-0.1,999,sa830302
Cory Riordan,Tigers,0,0,5.4,0,0,0,1,1,1,0,1,0,1.43,5.72,2.54,5.39,0,0,999,sa390235
Joe Filomeno,Rangers,0,0,5.18,0,1,0,1,1,1,0,1,1,1.64,7.69,5.58,5.39,0,0,999,sa709552
Aaron Kurcz,Athletics,0,0,5.29,0,1,0,1,1,1,0,1,0,1.48,7.09,3.94,5.39,0,0,999,sa549903
Kender Villegas,,0,0,5.27,0,1,0,1,1,1,0,1,0,1.54,6.49,4.19,5.39,0,0,999,sa546467
Scott Baker,,0,0,5.33,0,0,0,1,1,1,0,1,0,1.38,6.34,2.3,5.39,0,0,999,6176
Anthony Ranaudo,,0,0,5.32,0,0,0,1,1,1,0,1,0,1.45,6.53,3.24,5.39,0,0,999,11424
Trevor Foss,,0,0,5.4,0,0,0,1,1,1,0,1,0,1.57,5.31,3.73,5.39,0,0,999,sa738304
Jeffry Antigua,Cubs,0,0,5.13,0,0,0,1,1,1,0,1,0,1.47,6.34,3.63,5.39,0,0,999,sa456113
Jose Valdez,,0,0,5.27,0,1,0,1,1,1,0,1,1,1.62,6.3,4.78,5.39,0,0,999,3217
Tyler Herron,,0,0,5.36,0,0,0,1,1,1,0,1,0,1.49,6.25,3.42,5.39,0,0,999,sa290174
Seth McGarry,Phillies,0,0,5.16,0,1,0,1,1,1,0,1,1,1.69,7.24,5.89,5.4,0,0,999,sa857614
Brian Keller,Yankees,0,0,5.29,0,0,0,1,1,1,0,1,0,1.5,6.32,3.61,5.4,0,0,999,sa918951
Pedro Hernandez,,0,0,5.31,0,0,0,1,1,1,0,1,0,1.53,5.79,3.64,5.4,0,0,999,4578
Conor Krauss,,0,0,5.19,0,1,0,1,1,1,0,1,1,1.67,7.07,5.78,5.4,0,0,999,sa829273
Joel Payamps,Diamondbacks,0,0,5.43,0,0,0,1,1,1,0,1,0,1.48,6.01,3.19,5.4,0,0,999,sa597219
Nathan Bannister,Mariners,0,0,5.3,0,0,0,1,1,1,0,1,0,1.39,6.04,2.49,5.4,0,0,999,sa857696
Dominic DeMasi,Indians,0,0,5.3,0,0,0,1,1,1,0,1,0,1.56,4.85,3.65,5.4,0,0,999,sa829567
Josh Conway,,0,0,5.16,0,1,0,1,1,1,0,1,1,1.68,7.59,6.14,5.4,0,0,999,sa503412
Stephen Peterson,Brewers,0,0,5.24,0,1,0,1,1,1,0,1,1,1.55,7.54,4.57,5.4,0,0,999,sa599402
Brennan Leitao,Cardinals,0,0,5.36,0,1,0,1,1,1,0,1,0,1.57,5.6,3.94,5.4,0,0,999,sa875842
Jose Taveras,Phillies,0,1,5.31,2,2,0,9,10,5,2,8,3,1.42,7.58,3.35,5.4,0,0,731.8,sa828246
Brandon Leibrandt,Phillies,0,0,5.17,0,0,0,1,1,1,0,1,0,1.48,6.92,3.75,5.4,0,0,999,sa602915
Tyler Gilbert,Phillies,0,0,5.18,0,1,0,1,1,1,0,1,0,1.53,6.49,4.02,5.4,0,0,999,sa875068
Duncan Robinson,Cubs,0,0,5.31,0,0,0,1,1,1,0,1,0,1.57,5.52,4.08,5.4,0,0,999,sa874105
Marcos Diplan,Brewers,0,1,5.27,0,10,0,10,10,6,1,9,7,1.68,7.8,5.97,5.4,-0.1,-0.1,999,sa828590
Ben Lively,Phillies,4,7,5.32,16,16,0,93,102,55,19,70,30,1.41,6.77,2.86,5.4,0.3,0.1,609.2,14932
Sergio Mitre,,0,0,5.41,0,0,0,1,1,1,0,1,0,1.56,4.59,3.32,5.4,0,0,999,1773
Brian Hunter,Reds,0,0,5.2,0,1,0,1,1,1,0,1,1,1.64,7.75,5.69,5.4,0,0,999,sa829173
Nick Travieso,Reds,0,0,5.24,0,0,0,1,1,1,0,1,0,1.5,7.2,4.15,5.4,0,0,999,sa657906
Osvaldo Hernandez,Padres,0,0,5.18,0,0,0,1,1,1,0,1,1,1.65,6.1,5.15,5.41,0,0,999,sa975541
Travis Blackley,,0,0,5.15,0,1,0,1,1,1,0,1,0,1.56,5.58,3.94,5.41,0,0,999,3234
Sam Lewis,Diamondbacks,0,0,5.44,0,0,0,1,1,1,0,1,0,1.54,6.03,3.76,5.41,0,0,999,sa701852
Alex White,Braves,0,0,5.46,0,0,0,1,1,1,0,1,0,1.54,6.27,3.86,5.41,0,0,999,10054
Jordan Jess,Pirates,0,0,5.33,0,1,0,1,1,1,0,1,1,1.67,6.32,5.14,5.41,0,0,999,sa918756
Alejandro Mateo,Marlins,0,0,5.31,0,0,0,1,1,1,0,1,0,1.58,5.78,4.31,5.41,0,0,999,sa918495
Estarlin Arias,Cardinals,0,0,5.29,0,1,0,1,1,1,0,1,1,1.62,6.97,5.17,5.41,0,0,999,sa739879
Josh Judy,,0,0,5.26,0,1,0,1,1,1,0,1,0,1.57,5.81,4.23,5.41,0,0,999,1975
Logan Shore,Athletics,0,0,5.47,0,0,0,1,1,1,0,1,0,1.55,5.71,3.82,5.41,0,0,999,sa738442
Chad Smith,Marlins,0,0,5.17,0,1,0,1,1,1,0,1,1,1.73,6.31,6.05,5.41,0,0,999,sa875373
Clay Rapada,,0,0,5.25,0,1,0,1,1,1,0,1,0,1.51,6.45,3.77,5.41,0,0,999,4831
Mike Wright,Orioles,4,5,5.33,13,13,0,73,79,43,14,54,26,1.45,6.67,3.24,5.41,0.3,0.2,999,12586
Danny Reynolds,,0,0,5.19,0,1,0,1,1,1,0,1,1,1.59,7.64,5.31,5.41,0,0,999,sa501564
Brandon S. White,Braves,0,0,5.33,0,1,0,1,1,1,0,1,1,1.65,6.75,5.27,5.41,0,0,999,sa918249
Hunter Wood,Rays,0,1,5.2,2,2,0,9,9,5,2,7,4,1.47,7,4.03,5.41,0,0,999,15091
Tanner Banks,White Sox,0,0,5.23,0,0,0,1,1,1,0,1,0,1.49,5.43,3.18,5.41,0,0,999,sa829193
Kevin McAvoy,Red Sox,0,0,5.39,0,0,0,1,1,1,0,1,1,1.6,5.81,4.53,5.42,0,0,999,sa827491
Tyler Skulina,,0,0,5.22,0,1,0,1,1,1,0,1,1,1.57,7.46,5.04,5.42,0,0,999,sa550279
Ivan Vieitez,,0,0,5.37,0,0,0,1,1,1,0,1,0,1.59,5.7,4.19,5.42,0,0,999,sa875869
Martin Viramontes,,0,0,5.29,0,1,0,1,1,1,0,1,1,1.6,6.92,4.93,5.42,0,0,999,sa390651
Britt Robertshaw,,0,0,5.26,0,1,0,1,1,1,0,1,1,1.63,6.94,5.31,5.42,0,0,999,sa869675
Andrew Moore,Mariners,3,5,5.29,11,11,0,65,71,38,14,46,17,1.36,6.41,2.33,5.42,0.1,0.1,644.1,17553
Teddy Stankiewicz,Red Sox,0,0,5.43,0,0,0,1,1,1,0,1,0,1.47,5.58,3.12,5.42,0,0,999,sa657954
Jorge Pantoja,Nationals,0,0,5.27,0,1,0,1,1,1,0,1,1,1.64,5.61,4.71,5.42,0,0,999,sa876046
Mario Meza,,0,0,5.24,0,1,0,1,1,1,0,1,1,1.66,6.68,5.46,5.42,0,0,999,sa652174
Melvin Adon,Giants,0,0,5.2,0,0,0,1,1,1,0,1,1,1.68,5.25,5.25,5.42,0,0,999,sa873314
Heath Fillmyer,Royals,0,1,5.37,2,2,0,9,10,6,2,6,4,1.53,5.95,3.94,5.42,0,0,999,sa738396
Evan MacLane,,0,0,5.34,0,0,0,1,1,1,0,1,0,1.54,4.73,3.24,5.43,0,0,999,5576
Tyler Viza,Phillies,0,0,5.29,0,0,0,1,1,1,0,1,0,1.47,6.34,3.37,5.43,0,0,999,sa738610
Tommy Collier,,0,0,5.38,0,0,0,1,1,1,0,1,0,1.46,5.84,2.97,5.43,0,0,999,sa503829
Tommy Peterson,Nationals,0,0,5.22,0,1,0,1,1,1,0,1,1,1.63,6.79,5.2,5.43,0,0,999,sa875600
Derrick Miramontes,,0,0,5.35,0,1,0,1,1,1,0,1,0,1.57,5.88,4.08,5.43,0,0,999,sa3001052
Caleb Frare,Yankees,0,0,4.95,0,1,0,1,1,1,0,1,1,1.65,8.58,6.34,5.43,0,0,999,sa658179
Craig Breslow,Blue Jays,0,1,5.28,0,10,0,10,11,6,2,7,4,1.52,6.49,3.96,5.43,-0.1,0,999,4363
Jonah Wesely,Angels,0,0,4.93,0,1,0,1,1,1,0,1,1,1.66,7.33,6.05,5.43,0,0,999,sa737935
Chance Adams,Yankees,0,0,5.25,0,0,0,1,1,1,0,1,0,1.48,7.79,4.19,5.43,0,0,484.7,sa875066
Justin Kelly,Angels,0,0,5.06,0,1,0,1,1,1,0,1,1,1.54,6.57,4.58,5.43,0,0,999,sa918908
Andrew Case,Blue Jays,0,0,5.33,0,1,0,1,1,1,0,1,0,1.51,6.16,3.73,5.43,0,0,999,sa829881
Elliot Ashbeck,Padres,0,0,5.31,0,1,0,1,1,1,0,1,1,1.59,6.78,4.82,5.43,0,0,999,sa875665
Shao-Ching Chiang,Indians,0,0,5.32,0,0,0,1,1,1,0,1,0,1.49,4.52,2.84,5.43,0,0,999,sa659598
Will Mathis,,0,0,5.15,0,1,0,1,1,1,0,1,1,1.67,6,5.25,5.43,0,0,999,sa738357
Michael Kelly,Orioles,2,2,5.31,5,15,0,38,39,22,7,31,18,1.52,7.39,4.31,5.43,0,0,999,sa597767
Spencer Adams,White Sox,0,0,5.37,0,0,0,1,1,1,0,1,0,1.48,5.46,2.94,5.43,0,0,999,sa828687
Miles Nordgren,,0,0,5.42,0,0,0,1,1,1,0,1,0,1.62,4.81,4.04,5.44,0,0,999,sa829347
Jake Jewell,Angels,0,1,5.18,2,2,0,9,10,5,1,5,4,1.54,5.19,3.84,5.44,0,0,644.7,sa829312
Francisco Cruceta,,0,0,5.28,0,1,0,1,1,1,0,1,1,1.65,6.8,5.39,5.44,0,0,999,2104
Sam Howard,Rockies,0,1,5.43,2,2,0,9,10,6,2,7,4,1.52,6.81,3.77,5.44,0,0.1,999,sa602898
Kuehl McEachern,,0,0,5.29,0,1,0,1,1,1,0,1,1,1.64,5.73,4.73,5.44,0,0,999,sa829752
Christian Bergman,Mariners,0,0,5.35,0,0,0,1,1,1,0,1,0,1.43,5.54,2.55,5.44,0,0,999,10925
Harrison Cooney,Red Sox,0,0,5.34,0,1,0,1,1,1,0,1,1,1.61,6.69,4.96,5.44,0,0,999,sa550830
El'Hajj Muhammad,,0,0,5.28,0,1,0,1,1,1,0,1,1,1.62,6.77,5.1,5.44,0,0,999,sa550244
Toru Murata,,0,0,5.37,0,0,0,1,1,1,0,1,0,1.46,5.69,3.01,5.44,0,0,999,11652
Zach Jemiola,Rockies,0,1,5.54,0,10,0,10,12,6,2,7,4,1.53,6.06,3.46,5.44,-0.1,-0.1,999,sa658131
Trevor Simms,,0,0,5.32,0,1,0,1,1,1,0,1,1,1.58,6.49,4.6,5.44,0,0,999,sa918792
Rafael Perez,,0,0,5.31,0,0,0,1,1,1,0,1,0,1.55,5.05,3.52,5.44,0,0,999,4078
Gabe Cramer,Royals,0,0,5.28,0,1,0,1,1,1,0,1,1,1.65,7.42,5.79,5.44,0,0,999,sa879639
Michael Cederoth,Giants,0,0,5.11,0,1,0,1,1,1,0,1,1,1.74,7.65,7.01,5.44,0,0,999,sa600253
Yapson Gomez,Cubs,0,0,5.06,0,1,0,1,1,1,0,1,1,1.68,6.37,5.75,5.44,0,0,999,sa737676
Hengerber Medina,Giants,0,0,5.18,0,1,0,1,1,1,0,1,1,1.66,7,5.9,5.44,0,0,999,sa659366
Nolan Long,Dodgers,0,0,5.12,0,1,0,1,1,1,0,1,1,1.62,7.41,5.64,5.45,0,0,999,sa659265
Jose Galindo,Padres,0,0,5.22,0,1,0,1,1,1,0,1,1,1.69,7.73,6.28,5.45,0,0,999,sa918265
Thomas Hatch,Cubs,0,0,5.28,0,0,0,1,1,1,0,1,1,1.6,6.5,4.94,5.45,0,0,999,sa738514
Keaton Steele,Twins,0,0,5.44,0,0,0,1,1,1,0,1,0,1.55,4.81,3.32,5.45,0,0,999,sa659420
Dylan Covey,White Sox,0,1,5.49,2,2,0,9,10,5,1,6,4,1.6,5.97,4.14,5.45,0,0,999,14825
Jonathan Maciel,,0,0,5.41,0,1,0,1,1,1,0,1,0,1.52,5.42,3.36,5.45,0,0,999,sa738222
Chandler Hawkins,,0,0,5.22,0,1,0,1,1,1,0,1,1,1.57,6.76,4.65,5.45,0,0,999,sa876115
Robinson Leyer,White Sox,0,0,5.22,0,1,0,1,1,1,0,1,1,1.57,7.69,5.05,5.45,0,0,999,sa657613
Nick Struck,,0,0,5.32,0,1,0,1,1,1,0,1,1,1.64,6.17,4.93,5.45,0,0,999,sa503356
Trey Haley,Orioles,0,0,5.24,0,1,0,1,1,1,0,1,1,1.64,7.43,5.51,5.45,0,0,999,sa456039
Jordan Harrison,Rays,0,0,4.96,0,1,0,1,1,1,0,1,1,1.67,6.9,6.03,5.45,0,0,999,sa502697
Bryton Trepagnier,,0,0,5.3,0,1,0,1,1,1,0,1,1,1.65,6.83,5.42,5.45,0,0,999,sa550135
Daisuke Matsuzaka,,0,0,5.42,0,1,0,1,1,1,0,1,1,1.56,7.6,4.9,5.45,0,0,999,7775
Starlyn Suriel,,0,0,5.29,0,1,0,1,1,1,0,1,0,1.49,7.06,4.04,5.45,0,0,999,sa829880
Kevin Matthews,,0,0,5.22,0,1,0,1,1,1,0,1,1,1.64,7.61,5.64,5.45,0,0,999,sa600845
Logan Sendelbach,Pirates,0,0,5.56,0,0,0,1,1,1,0,1,0,1.62,5.18,3.99,5.46,0,0,999,sa875272
Manuel Baez,,0,0,5.34,0,1,0,1,1,1,0,1,1,1.61,5.97,4.55,5.46,0,0,999,sa509129
Trevor Clifton,Cubs,0,0,5.31,0,0,0,1,1,1,0,1,1,1.52,7.46,4.52,5.46,0,0,999,sa737901
Blake Rogers,Padres,0,0,5.28,0,1,0,1,1,1,0,1,1,1.68,5.72,5.16,5.46,0,0,999,sa876290
Nolan Riggs,Giants,0,0,5.2,0,1,0,1,1,1,0,1,1,1.64,5.97,5.27,5.46,0,0,999,sa840024
Nick Additon,,0,0,5.25,0,0,0,1,1,1,0,1,0,1.45,6.43,3.39,5.46,0,0,999,sa393067
Jhondaniel Medina,,0,0,5.25,0,1,0,1,1,1,0,1,1,1.58,8.04,5.38,5.46,0,0,999,sa550551
Austin Sexton,Cardinals,0,0,5.42,0,1,0,1,1,1,0,1,1,1.62,6.17,4.65,5.46,0,0,999,sa857572
Jacob Bodner,Royals,0,0,5.32,0,1,0,1,1,1,0,1,1,1.64,6.7,5.36,5.46,0,0,999,sa875866
Jeff Brigham,Marlins,0,0,5.32,0,0,0,1,1,1,0,1,1,1.6,6.09,4.78,5.46,0,0,999,sa828882
Drew Hasler,White Sox,0,0,5.35,0,1,0,1,1,1,0,1,0,1.55,5.2,3.47,5.46,0,0,999,sa876131
Brad Kuntz,Brewers,0,0,5.29,0,1,0,1,1,1,0,1,1,1.64,6.74,5.05,5.46,0,0,999,sa877529
Michael Santos,Rays,0,0,5.3,0,1,0,1,1,1,0,1,0,1.56,4.77,3.68,5.46,0,0,999,sa736667
Nathan Bates,Angels,0,0,5.12,0,1,0,1,1,1,0,1,1,1.64,6.63,5.43,5.46,0,0,999,sa875717
Chris Sadberry,Marlins,0,0,5.19,0,1,0,1,1,1,0,1,1,1.67,5.42,5.14,5.46,0,0,999,sa828999
Ryan Burr,White Sox,0,0,5.21,0,1,0,1,1,1,0,1,1,1.67,7.74,6.03,5.46,0,0,999,sa658938
Bruce Chen,Indians,0,0,5.31,0,0,0,1,1,1,0,1,0,1.41,6.08,2.74,5.46,0,0,999,769
Kevin Ziomek,Tigers,0,0,5.35,0,0,0,1,1,1,0,1,0,1.55,5.53,3.8,5.46,0,0,999,sa549113
Brian Johnson,Red Sox,2,2,5.28,5,5,0,28,29,16,5,19,11,1.48,6.33,3.68,5.47,0,0.2,720,14272
Tommy Thorpe,Cubs,0,0,5.12,0,1,0,1,1,1,0,1,1,1.57,7.35,5.15,5.47,0,0,999,sa829121
Harley Holt,Cardinals,0,0,5.43,0,1,0,1,1,1,0,1,0,1.61,5.44,4.21,5.47,0,0,999,sa878099
Aron McRee,White Sox,0,0,5.39,0,0,0,1,1,1,0,1,0,1.61,5.23,4.11,5.47,0,0,999,sa919545
Randy LeBlanc,Twins,0,0,5.47,0,0,0,1,1,1,0,1,0,1.57,4.85,3.55,5.47,0,0,999,sa549258
Austin Fleet,,0,0,5.35,0,1,0,1,1,1,0,1,0,1.5,6.78,3.92,5.47,0,0,999,sa549259
Lee Stoppelman,,0,0,5.18,0,1,0,1,1,1,0,1,1,1.67,8,6.18,5.47,0,0,999,sa658588
Andre Wheeler,White Sox,0,0,5.19,0,1,0,1,1,1,0,1,1,1.58,7.43,4.97,5.47,0,0,999,sa549578
Enderson Franco,Braves,0,0,5.45,0,0,0,1,1,1,0,1,0,1.54,6.02,3.77,5.47,0,0,999,sa547840
Wirkin Estevez,Nationals,0,0,5.43,0,0,0,1,1,1,0,1,0,1.62,5.46,4.36,5.47,0,0,999,sa550539
Touki Toussaint,Braves,0,0,5.39,0,0,0,1,1,1,0,1,1,1.6,7.69,5.29,5.47,0,0,999,sa828666
Juancito Martinez,,0,0,5.32,0,1,0,1,1,1,0,1,1,1.61,6.72,4.91,5.47,0,0,999,sa506822
Alex Klonowski,Angels,0,0,5.24,0,0,0,1,1,1,0,1,0,1.45,5.57,3.18,5.47,0,0,999,sa829634
Travis Lakins,Red Sox,0,0,5.46,0,0,0,1,1,1,0,1,0,1.56,6.37,4.38,5.47,0,0,999,sa873678
Greg Harris,Rays,0,0,5.24,0,0,0,1,1,1,0,1,0,1.51,7.15,4.47,5.47,0,0,999,sa738173
Jorge Reyes,Braves,0,0,5.49,0,0,0,1,1,1,0,1,0,1.53,5.97,3.65,5.47,0,0,999,sa501947
Omar Bencomo,Twins,0,0,5.45,0,0,0,1,1,1,0,1,0,1.44,6.41,3.06,5.47,0,0,999,sa503950
Brett Bochy,,0,0,5.37,0,1,0,1,1,1,0,1,0,1.51,6.8,3.96,5.48,0,0,999,11867
Jeremy Null,,0,0,5.38,0,1,0,1,1,1,0,1,0,1.5,5.76,3.39,5.48,0,0,999,sa602382
Blake McKnight,,0,0,5.35,0,1,0,1,1,1,0,1,0,1.62,5.22,4.35,5.48,0,0,999,sa738934
Lorenzo Barcelo,,0,0,5.44,0,0,0,1,1,1,0,1,0,1.48,4.57,2.57,5.48,0,0,999,1435
Michael Wagner,Cubs,0,0,5.29,0,0,0,1,1,1,0,1,1,1.53,7.18,4.6,5.48,0,0,999,sa549834
Chris Dwyer,Orioles,0,0,5.27,0,1,0,1,1,1,0,1,1,1.61,6.55,4.69,5.48,0,0,999,10045
John Richy,,0,0,5.42,0,0,0,1,1,1,0,1,0,1.52,5.67,3.49,5.48,0,0,999,sa828800
Rafael Pineda,Mariners,0,0,5.43,0,0,0,1,1,1,0,1,0,1.52,5.74,3.49,5.48,0,0,999,sa658959
Davis Ward,Cardinals,0,0,5.43,0,1,0,1,1,1,0,1,1,1.64,6.22,4.84,5.48,0,0,999,sa829860
Pablo Fernandez,Dodgers,0,0,5.32,0,0,0,1,1,1,0,1,0,1.48,5.82,3.4,5.48,0,0,999,sa867970
Michael Smith,Angels,0,0,5.17,0,1,0,1,1,1,0,1,1,1.56,6.59,4.69,5.48,0,0,999,sa738590
Nathanael Santiago,Giants,0,0,5.2,0,1,0,1,1,1,0,1,1,1.7,7.12,6.28,5.48,0,0,999,sa869604
Billy Strode,Indians,0,0,5.14,0,1,0,1,1,1,0,1,1,1.64,6.01,5.1,5.48,0,0,999,sa857589
Yency Almonte,Rockies,0,1,5.57,2,2,0,9,10,6,2,7,5,1.58,6.95,4.4,5.48,0,0.1,999,sa658334
Riley Smith,Diamondbacks,0,0,5.57,0,0,0,1,1,1,0,1,0,1.62,5.26,4.1,5.49,0,0,999,sa876070
Jean Cosme,Padres,0,0,5.44,0,0,0,1,1,1,0,1,0,1.6,5.72,4.36,5.49,0,0,999,sa829216
Scott Lieser,,0,0,5.4,0,1,0,1,1,1,0,1,0,1.59,6.16,4.43,5.49,0,0,999,sa579250
Drake Britton,,0,0,5.24,0,1,0,1,1,1,0,1,0,1.53,6.38,4.18,5.49,0,0,999,2868
Anderson Polanco,Indians,0,0,5.23,0,0,0,1,1,1,0,1,1,1.6,6.88,5.09,5.49,0,0,999,sa596949
Matt Solter,Giants,0,0,5.31,0,0,0,1,1,1,0,1,1,1.65,5.79,5.18,5.49,0,0,999,sa917121
Tommy Hanson,,0,0,5.52,0,0,0,1,1,1,0,1,0,1.5,6.72,3.74,5.49,0,0,999,9129
Gary Cornish,Mets,0,0,5.44,0,0,0,1,1,1,0,1,0,1.61,5.72,4.4,5.49,0,0,999,sa829472
Jason Lane,Brewers,0,0,5.5,0,1,0,1,1,1,0,1,0,1.51,5.32,2.9,5.49,0,0,999,1397
Eduardo Vera,Pirates,0,0,5.65,0,0,0,1,1,1,0,1,0,1.58,5.05,3.41,5.49,0,0,999,sa657658
Dakota Mekkes,Cubs,0,0,5.16,0,1,0,1,1,1,0,1,1,1.65,7.96,6.23,5.49,0,0,999,sa915807
Jonny Drozd,,0,0,5.24,0,1,0,1,1,1,0,1,1,1.66,5.5,4.91,5.49,0,0,999,sa833561
Dace Kime,Indians,0,0,5.28,0,1,0,1,1,1,0,1,1,1.57,6.66,4.69,5.49,0,0,999,sa548429
Sam Held,Nationals,0,0,5.28,0,1,0,1,1,1,0,1,1,1.72,6.01,5.65,5.49,0,0,999,sa918665
Carlos Hiraldo,Astros,0,0,5.36,0,0,0,1,1,1,0,1,1,1.61,6.31,4.69,5.49,0,0,999,sa828141
Irwin Delgado,,0,0,5.28,0,0,0,1,1,1,0,1,1,1.64,5.43,4.71,5.49,0,0,999,sa508063
Sam Clay,Twins,0,0,5.15,0,1,0,1,1,1,0,1,1,1.71,7.26,6.28,5.5,0,0,999,sa828815
Dustin Hurlbutt,Athletics,0,0,5.47,0,0,0,1,1,1,0,1,0,1.54,6.01,4,5.5,0,0,999,sa875683
Matt Foster,White Sox,0,0,5.3,0,1,0,1,1,1,0,1,1,1.63,7.34,5.42,5.5,0,0,999,sa738581
Briam Campusano,Mets,0,0,5.41,0,0,0,1,1,1,0,1,0,1.6,6.09,4.48,5.5,0,0,999,sa917756
Roy Corcoran,,0,0,5.38,0,1,0,1,1,1,0,1,1,1.66,6.22,5.11,5.5,0,0,999,1780
Jorge Ortega,Brewers,0,0,5.54,0,0,0,1,1,1,0,1,0,1.43,5.52,2.26,5.5,0,0,999,sa597019
Alberto Castillo,,0,0,5.38,0,0,0,1,1,1,0,1,0,1.55,5.74,3.82,5.5,0,0,999,3316
Derrick Loop,,0,0,5.24,0,1,0,1,1,1,0,1,1,1.64,6.17,5.03,5.5,0,0,999,sa328208
Harrison Musgrave,Rockies,0,0,5.54,0,0,0,1,1,1,0,1,0,1.54,6.53,3.76,5.5,0,0,999,sa738519
Ryan Ledbetter,Rangers,0,0,5.44,0,1,0,1,1,1,0,1,1,1.6,7.42,4.95,5.5,0,0,999,sa738340
Brennan Smith,,0,0,5.47,0,0,0,1,1,1,0,1,0,1.51,6.22,3.59,5.5,0,0,999,sa549585
Thomas Jankins,Brewers,0,0,5.56,0,0,0,1,1,1,0,1,0,1.63,5.48,4.19,5.5,0,0,999,sa873276
Jimmy Yacabonis,Orioles,1,1,5.36,0,20,0,20,21,12,3,16,11,1.61,7.04,4.9,5.5,-0.1,-0.2,999,15157
T.J. Zeuch,Blue Jays,0,0,5.5,0,0,0,1,1,1,0,1,0,1.61,5.18,4.14,5.5,0,0,999,sa738498
Joe Pistorese,Mariners,0,0,5.19,0,1,0,1,1,1,0,1,1,1.59,6.98,5.04,5.5,0,0,999,sa602696
Jesus Liranzo,Orioles,0,1,5.28,0,10,0,10,10,6,2,10,6,1.57,8.82,5.5,5.5,-0.1,0,999,sa658076
Alsis Herrera,Indians,0,0,5.2,0,1,0,1,1,1,0,1,1,1.58,6.47,4.71,5.5,0,0,999,sa945470
